,artist,track,track_pop,duration_ms,album_nm,album_dt
25004,Yng Lvcas,La Bebe - Remix,100,234352,La Bebe (Remix),2023-03-17
25007,Bad Bunny,WHERE SHE GOES,99,231704,WHERE SHE GOES,2023-05-18
25008,FIFTY FIFTY,Cupid - Twin Ver.,99,174253,The Beginning: Cupid,2023-02-24
25002,Grupo Frontera,un x100to,99,194563,un x100to,2023-04-17
25024,Bizarrap,"Peso Pluma: Bzrp Music Sessions, Vol. 55",98,188361,"Peso Pluma: Bzrp Music Sessions, Vol. 55",2023-06-01
25019,David Kushner,Daylight,98,212953,Daylight,2023-04-14
25000,Eslabon Armado,Ella Baila Sola,98,165671,Ella Baila Sola,2023-03-16
26049,Feid,Classy 101,97,195986,Classy 101,2023-03-31
27549,BTS,Take Two,96,229953,Take Two,2023-06-09
26899,ROSALÍA,BESO,96,194543,RR,2023-03-24
25023,Fuerza Regida,TQM,96,158965,TQM,2023-05-19
25016,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),96,221520,HEROES & VILLAINS,2022-12-02
32299,Dave,Sprinter,96,229133,Sprinter,2023-06-01
16299,Arctic Monkeys,I Wanna Be Yours,96,183956,AM,2013-09-09
20449,"Tyler, The Creator",See You Again (feat. Kali Uchis),96,180386,Flower Boy,2017-07-21
25006,PinkPantheress,Boy's a Liar Pt. 2,95,131013,Boy's a liar Pt. 2,2023-02-03
18399,SZA,Kill Bill,95,153946,SOS,2022-12-08
17699,Taylor Swift,Anti-Hero,95,200690,Midnights,2022-10-21
25699,KAROL G,TQG,95,197933,MAÑANA SERÁ BONITO,2023-02-24
25035,Rema,Calm Down (with Selena Gomez),95,239317,Calm Down (with Selena Gomez),2022-08-25
25042,Jimin,Like Crazy,95,212241,FACE,2023-03-24
18449,David Guetta,I'm Good (Blue),95,175238,I'm Good (Blue),2022-08-26
25022,Junior H,El Azul,95,187225,El Azul,2023-02-10
18599,OneRepublic,I Ain't Worried,95,148485,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",2022-05-13
25015,Peso Pluma,PRC,95,184066,PRC,2023-01-23
25349,Dua Lipa,Dance The Night (From Barbie The Album),94,176579,Dance The Night (From Barbie The Album),2023-05-25
25399,Yahritza Y Su Esencia,Frágil,94,160517,Frágil,2023-04-07
15299,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",94,198937,"Quevedo: Bzrp Music Sessions, Vol. 52",2022-07-06
26449,Stephen Sanchez,Until I Found You (with Em Beihold) - Em Beihold Version,94,176440,Until I Found You (Em Beihold Version),2022-04-22
33949,LIT killah,Los del Espacio,94,338000,Los del Espacio,2023-06-01
25014,Metro Boomin,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",94,219453,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),2023-06-02
30849,Libianca,People,94,184791,People,2022-12-06
30999,David Guetta,Baby Don't Hurt Me,94,140017,Baby Don't Hurt Me,2023-04-06
0,The Weeknd,Blinding Lights,94,200040,After Hours,2020-03-20
14,Harry Styles,As It Was,94,167303,Harry's House,2022-05-20
11,The Weeknd,Starboy,94,230453,Starboy,2016-11-25
13999,Bad Bunny,Me Porto Bonito,93,178567,Un Verano Sin Ti,2022-05-06
25029,SZA,Snooze,93,201800,SOS,2022-12-09
