,artist,track,track_pop,duration_ms,album_name
20449,"Tyler, The Creator",See You Again (feat. Kali Uchis),96,180386,Flower Boy
16299,Arctic Monkeys,I Wanna Be Yours,96,183956,AM
18599,OneRepublic,I Ain't Worried,95,148485,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")"
18449,David Guetta,I'm Good (Blue),95,175238,I'm Good (Blue)
18399,SZA,Kill Bill,95,153946,SOS
17699,Taylor Swift,Anti-Hero,95,200690,Midnights
0,The Weeknd,Blinding Lights,94,200040,After Hours
11,The Weeknd,Starboy,94,230453,Starboy
15299,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",94,198937,"Quevedo: Bzrp Music Sessions, Vol. 52"
14,Harry Styles,As It Was,94,167303,Harry's House
13999,Bad Bunny,Me Porto Bonito,93,178567,Un Verano Sin Ti
1899,Coldplay,Yellow,93,266773,Parachutes
22,The Neighbourhood,Sweater Weather,93,240400,I Love You.
18099,Ruth B.,Dandelions,92,233720,Safe Haven
16399,Eminem,Mockingbird,92,250760,Encore (Deluxe Version)
18,Harry Styles,Watermelon Sugar,92,174000,Fine Line
13449,The Weeknd,Die For You,92,260253,Starboy
3,Lewis Capaldi,Someone You Loved,92,182160,Divinely Uninspired To A Hellish Extent
10,Ed Sheeran,Perfect,92,263400,÷ (Deluxe)
16,Billie Eilish,lovely (with Khalid),91,200185,lovely (with Khalid)
17299,Bad Bunny,Ojitos Lindos,91,258298,Un Verano Sin Ti
7449,Coldplay,Viva La Vida,91,242373,Viva La Vida or Death and All His Friends
4849,Bruno Mars,When I Was Your Man,91,213826,Unorthodox Jukebox
15349,Tears For Fears,Everybody Wants To Rule The World,91,251488,Songs From The Big Chair (Super Deluxe Edition)
4,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,91,158040,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)
17749,Miley Cyrus,Flowers,91,200600,Endless Summer Vacation
17199,One Direction,Night Changes,91,226600,FOUR (Deluxe)
6999,The Weeknd,Save Your Tears,90,215626,After Hours
6649,a-ha,Take on Me,90,225280,Hunting High and Low
10549,The Weeknd,Call Out My Name,90,228373,"My Dear Melancholy,"
10149,Eminem,The Real Slim Shady,90,284200,The Marshall Mathers LP
13849,Arctic Monkeys,Why'd You Only Call Me When You're High?,90,161123,AM
17099,Manuel Turizo,La Bachata,90,162637,La Bachata
1,Ed Sheeran,Shape of You,90,233712,÷ (Deluxe)
5249,The Police,Every Breath You Take,90,253920,Synchronicity (Remastered 2003)
49,Calvin Harris,One Kiss (with Dua Lipa),90,214846,One Kiss (with Dua Lipa)
18649,Bad Bunny,Efecto,90,213061,Un Verano Sin Ti
16349,Justin Bieber,Ghost,90,153190,Justice
29,Post Malone,Circles,90,215280,Hollywood's Bleeding
19399,XXXTENTACION,Revenge,89,120026,17
24,Ed Sheeran,Photograph,89,258986,x (Deluxe Edition)
15,James Arthur,Say You Won't Let Go,89,211466,Back from the Edge
13149,Conan Gray,Heather,89,198040,Kid Krow
5049,Guns N' Roses,Sweet Child O' Mine,89,356066,Appetite For Destruction
13549,Ed Sheeran,Shivers,89,207853,=
4199,Linkin Park,In the End,89,216880,Hybrid Theory (Bonus Edition)
12149,Coolio,Gangsta's Paradise,89,240693,Gangsta's Paradise
13749,Olivia Rodrigo,traitor,89,229226,SOUR
11249,Bon Jovi,Livin' On A Prayer,89,249293,Slippery When Wet
2049,Shawn Mendes,There's Nothing Holdin' Me Back,89,199440,Illuminate (Deluxe)
10199,Shakira,Hips Don't Lie (feat. Wyclef Jean),89,218093,"Oral Fixation, Vol. 2 (Expanded Edition)"
9699,J Balvin,LA CANCIÓN,89,242573,OASIS
25,The Chainsmokers,Something Just Like This,89,247160,Memories...Do Not Open
7349,Avicii,The Nights,89,176658,The Days / Nights
8749,Alec Benjamin,Let Me Down Slowly,89,169353,Narrated For You
3349,Coldplay,The Scientist,89,309600,A Rush of Blood to the Head
149,Olivia Rodrigo,good 4 u,89,178146,SOUR
15049,Coldplay,A Sky Full of Stars,89,267866,Ghost Stories
23,Drake,God's Plan,88,198973,Scorpion
12199,Doja Cat,Woman,88,172626,Planet Her
45,Kendrick Lamar,HUMBLE.,88,177000,DAMN.
17599,Billie Eilish,Happier Than Ever,88,298899,Happier Than Ever
5199,TOTO,Africa,88,295893,Toto IV
15399,The Neighbourhood,Daddy Issues,88,260173,Wiped Out!
18949,Kate Bush,Running Up That Hill (A Deal With God),88,298933,Hounds Of Love
12899,Olivia Rodrigo,deja vu,88,215506,SOUR
7999,The White Stripes,Seven Nation Army,88,232106,Elephant
2099,Eminem,Till I Collapse,88,297786,The Eminem Show
4399,Ed Sheeran,Bad Habits,88,230746,=
1949,Bruno Mars,That's What I Like,88,206693,24K Magic
31,John Legend,All of Me,88,269560,Love In The Future (Expanded Edition)
249,Olivia Rodrigo,drivers license,88,242013,SOUR
18749,Creedence Clearwater Revival,Fortunate Son,88,140773,Willy And The Poor Boys (Expanded Edition)
8799,Linkin Park,Numb,88,185586,Meteora
35,Travis Scott,goosebumps,88,243836,Birds In The Trap Sing McKnight
9149,Juice WRLD,All Girls Are The Same,88,165819,Goodbye & Good Riddance
8899,Tame Impala,The Less I Know The Better,88,216320,Currents
39,Twenty One Pilots,Stressed Out,88,202333,Blurryface
10749,Fleetwood Mac,Dreams - 2004 Remaster,88,257800,Rumours (Super Deluxe)
6249,Harry Styles,Adore You,88,207133,Fine Line
10999,AC/DC,Highway to Hell,88,208400,Highway to Hell
18049,Coldplay,Paradise,88,278719,Mylo Xyloto
3849,Lewis Capaldi,Before You Go,88,215106,Divinely Uninspired To A Hellish Extent (Extended Edition)
13799,Coldplay,Hymn for the Weekend,87,258266,A Head Full of Dreams
3149,Journey,Don't Stop Believin',87,250986,Escape (Bonus Track Version)
13899,XXXTENTACION,Hope,87,110886,?
3099,Charlie Puth,Attention,87,208786,Voicenotes
3499,Bruno Mars,Just the Way You Are,87,220734,Doo-Wops & Hooligans
14099,Gorillaz,Feel Good Inc.,87,222640,Demon Days
11949,The Goo Goo Dolls,Iris,87,289533,Dizzy up the Girl
4449,Foster The People,Pumped Up Kicks,87,239600,Torches
9199,AC/DC,Back In Black,87,255493,Back In Black
7649,Drake,Passionfruit,87,298940,More Life
8049,Eagles,Hotel California - 2013 Remaster,87,391376,Hotel California (2013 Remaster)
8199,Måneskin,Beggin',87,211560,Chosen
8549,Harry Styles,Sign of the Times,87,340706,Harry Styles
8599,Calvin Harris,Summer,87,222533,Motion
5,Post Malone,rockstar (feat. 21 Savage),87,218146,beerbongs & bentleys
9999,Kendrick Lamar,All The Stars (with SZA),87,232186,Black Panther The Album Music From And Inspired By
12399,AC/DC,Thunderstruck,87,292880,The Razors Edge
23799,Taylor Swift,Look What You Made Me Do,87,211853,reputation
6149,WALK THE MOON,Shut Up and Dance,87,199080,TALKING IS HARD
11149,Maroon 5,Maps,87,189960,V
11549,Coldplay,Fix You,87,295533,X&Y
11849,Lil Baby,Drip Too Hard (Lil Baby & Gunna),87,145542,Drip Harder
12299,Ariana Grande,One Last Time,87,197266,My Everything (Deluxe)
21,Ed Sheeran,Thinking out Loud,87,281560,x (Deluxe Edition)
14399,Rihanna,Love On The Brain,87,224000,ANTI (Deluxe)
19599,ABBA,Dancing Queen,87,230400,Arrival
17649,The Beatles,Here Comes The Sun - Remastered 2009,87,185733,Abbey Road (Remastered)
99,Travis Scott,SICKO MODE,87,312820,ASTROWORLD
1649,French Montana,Unforgettable,87,233901,Jungle Rules
34,Ariana Grande,7 rings,87,178626,"thank u, next"
999,Mark Ronson,Uptown Funk (feat. Bruno Mars),87,269666,Uptown Special
499,Sam Smith,Stay With Me,87,172723,In The Lonely Hour
1399,Dua Lipa,Levitating (feat. DaBaby),87,203064,Future Nostalgia
30,Justin Bieber,Love Yourself,87,233720,Purpose (Deluxe)
1199,Maroon 5,Memories,87,189486,JORDI (Deluxe)
7799,Billie Eilish,everything i wanted,87,245425,everything i wanted
16199,R.E.M.,Losing My Religion,87,268426,Out Of Time (25th Anniversary Edition)
19299,J. Cole,Wet Dreamz,87,239266,2014 Forest Hills Drive
27,Lady Gaga,Shallow,87,215733,A Star Is Born Soundtrack
199,DJ Snake,Let Me Love You,87,205946,Encore
22999,One Direction,Story of My Life,86,245493,Midnight Memories (Deluxe)
19949,Britney Spears,Toxic,86,198800,In The Zone
10499,Offset,Ric Flair Drip (with Metro Boomin),86,172800,Without Warning
12799,Bad Bunny,Yonaguni,86,206710,Yonaguni
18199,Kendrick Lamar,Money Trees,86,386906,"good kid, m.A.A.d city"
17999,Bryson Tiller,Don't,86,198293,T R A P S O U L
12749,Dr. Dre,Still D.R.E.,86,270586,2001
4949,Panic! At The Disco,High Hopes,86,190946,Pray for the Wicked
13349,Lynyrd Skynyrd,Sweet Home Alabama,86,283800,Second Helping (Expanded Edition)
17949,Capital Cities,Safe And Sound,86,192789,In A Tidal Wave Of Mystery (Deluxe Edition)
11999,Avicii,Waiting For Love,86,230613,Stories
5999,Travis Scott,HIGHEST IN THE ROOM,86,175720,HIGHEST IN THE ROOM
5749,Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),86,198081,Justice
11599,Adele,Easy On Me,86,224694,30
13099,Eminem,Godzilla (feat. Juice WRLD),86,210800,Music To Be Murdered By
15549,Outkast,Hey Ya!,86,235213,Speakerboxxx/The Love Below
17849,Usher,Yeah! (feat. Lil Jon & Ludacris),86,250373,Confessions (Expanded Edition)
3549,Twenty One Pilots,Ride,86,214506,Blurryface
16499,Kendrick Lamar,LOVE. FEAT. ZACARI.,86,213400,DAMN.
48,Marshmello,Happier,86,214289,Happier
14949,Joji,SLOW DANCING IN THE DARK,86,209273,BALLADS 1
19049,A$AP Rocky,Praise The Lord (Da Shine) (feat. Skepta),86,205040,TESTING
8649,XXXTENTACION,Everybody Dies In Their Nightmares,86,95466,17
15899,Eurythmics,Sweet Dreams (Are Made of This) - Remastered,86,216933,Sweet Dreams (Are Made Of This)
17,Billie Eilish,bad guy,86,194087,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
36,XXXTENTACION,Jocelyn Flores,86,119133,17
4099,Calvin Harris,This Is What You Came For,86,222160,This Is What You Came For
9349,Train,"Hey, Soul Sister",86,216773,"Save Me, San Francisco (Golden Gate Edition)"
2849,Billie Eilish,when the party's over,86,196077,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
11499,Eminem,Love The Way You Lie,86,263373,Recovery
18799,Jhayco,No Me Conoce - Remix,86,309120,Famouz
42,Lil Uzi Vert,XO Tour Llif3,85,182706,Luv Is Rage 2
44,Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),85,258342,The Heist
649,Halsey,Without Me,85,201660,Manic
18849,Lady Gaga,Always Remember Us This Way,85,210200,A Star Is Born Soundtrack (Without Dialogue)
24549,Red Hot Chili Peppers,Can't Stop,85,269000,By the Way (Deluxe Edition)
799,Post Malone,Better Now,85,231266,beerbongs & bentleys
10949,Ariana Grande,positions,85,172324,Positions
10799,Pitbull,Timber (feat. Ke$ha),85,204160,Global Warming: Meltdown (Deluxe Version)
19449,Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),85,291293,Whitney
9649,MAGIC!,Rude,85,224840,Don't Kill the Magic
849,Post Malone,Congratulations,85,220293,Stoney (Deluxe)
5399,DNCE,Cake By The Ocean,85,219146,DNCE
13699,Kings of Leon,Sex on Fire,85,203346,Only By The Night
12999,Don Omar,Danza Kuduro,85,198773,Meet The Orphans
3899,Post Malone,Wow.,85,149546,Hollywood's Bleeding
2349,Lukas Graham,7 Years,85,237300,Lukas Graham
16649,Sam Smith,Unholy (feat. Kim Petras),85,156943,Gloria
16449,Pitbull,Time of Our Lives,85,229360,Globalization
17799,Coldplay,My Universe,85,226198,Music Of The Spheres
2599,Maroon 5,Sugar,85,235493,V
1799,Roddy Ricch,The Box,85,196652,Please Excuse Me for Being Antisocial
1749,BTS,Dynamite,85,199053,BE
19,Dua Lipa,Don't Start Now,85,183290,Future Nostalgia
4649,Danny Ocean,Me Rehúso,85,205714,54+1
1699,XXXTENTACION,Moonlight,85,135090,?
22399,Daft Punk,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],85,248413,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]
12549,Tate McRae,you broke me first,85,169265,you broke me first
15249,J. Cole,MIDDLE CHILD,85,213593,MIDDLE CHILD
17499,Bruno Mars,Talking to the Moon,85,217866,Doo-Wops & Hooligans
22449,Swedish House Mafia,Don't You Worry Child - Radio Edit,85,212862,Don't You Worry Child
12349,Backstreet Boys,I Want It That Way,85,213306,Millennium
